pergunta,resposta
Vocês têm pizza sem glúten?,"Ainda não temos opções sem glúten, mas estamos trabalhando nisso."
Como faço para fazer o pedido?,"Você pode pedir pelo WhatsApp, telefone ou nosso site."
Qual o número do WhatsApp?,Nosso WhatsApp é (11) 98888-7777.
Tem refrigerante para acompanhar?,"Sim, temos Coca-Cola, Guaraná, Fanta, Pepsi e água."
Quais refrigerantes vocês vendem?,"Temos refrigerantes variados como Coca, Guaraná e Fanta."
Tem pizza para crianças?,"Sim, temos pizzas broto que são ótimas para crianças."
Vocês têm pizza tamanho família?,"Sim, oferecemos pizza no tamanho família para grupos maiores."
Como são as pizzas de vocês?,Nossas pizzas são feitas com massa artesanal e ingredientes frescos.
Vocês têm pizza de frango com catupiry?,"Sim, nossa pizza de frango vai com bastante catupiry verdadeiro."
Tem pizza de frango com muito catupiry?,"Sim, a pizza de frango é recheada com catupiry delicioso."
A pizza de frango leva catupiry?,"Sim, a pizza de frango sempre vem com catupiry."
Vocês fazem pizza de pepperoni?,"Sim, temos pizza de pepperoni com bastante queijo."
A pizza de pepperoni é boa?,Nossa pizza de pepperoni é uma das mais pedidas!
Posso pedir pizza de pepperoni?,"Claro, temos pizza de pepperoni saborosa e quentinha."
Tem pizza marguerita?,"Sim, oferecemos pizza marguerita com tomate fresco e manjericão."
A pizza marguerita é fresca?,"Sim, nossa pizza marguerita é preparada com ingredientes frescos."
Vocês têm pizza portuguesa?,"Sim, nossa pizza portuguesa é feita com ovos, cebola e azeitonas."
Qual o tamanho das pizzas?,"Temos pizza broto, média, grande e família."
Qual é o tamanho médio da pizza?,A pizza média serve até 3 pessoas tranquilamente.
Vocês fazem pizzas grandes?,"Sim, temos pizzas grandes e família para grupos maiores."
Vocês entregam 24 horas?,"Não, nosso horário de funcionamento é das 18h às 23h."
Posso pedir pizza depois das 23h?,"Infelizmente, não atendemos pedidos após as 23h."
Vocês aceitam pedidos pelo site?,"Sim, você pode fazer pedidos pelo nosso site ou WhatsApp."
Qual é o site de vocês?,Nosso site é www.pizzariadigital.com.br
Vocês têm pizza de calabresa?,"Sim, nossa pizza de calabresa é muito saborosa e tem bastante calabresa."
Vocês têm opção sem lactose?,"Sim, temos pizzas sem lactose, basta avisar no pedido."
Vocês fazem pizza vegana?,"Sim, temos opções veganas feitas com ingredientes especiais."
Tem opções para intolerantes ao glúten?,"Ainda não, mas estamos estudando opções sem glúten."
Quanto custa a pizza média?,"A pizza média custa a partir de R$35,00."
Tem preço especial para combos?,"Sim, temos combos promocionais com preços especiais."
Vocês entregam fora da cidade?,"Não, fazemos entrega apenas na cidade e bairros próximos."
Tem taxa para entrega?,"A taxa depende do bairro, podemos informar no momento do pedido."
Vocês fazem pizza doce?,"Sim, temos opções como chocolate, banana com canela e morango."
Quais são os sabores doces?,"Temos chocolate, morango com leite condensado e banana com canela."
Posso fazer pedido pelo telefone?,"Sim, nosso número é (11) 98888-7777 para pedidos."
Tem desconto para clientes frequentes?,"Sim, oferecemos descontos para clientes fiéis."
Vocês abrem nos feriados?,"Sim, abrimos normalmente nos feriados no horário habitual."
Como faço para cancelar um pedido?,Você pode cancelar pelo WhatsApp ou telefone antes do preparo.
Qual é o melhor sabor de pizza?,"Isso depende do seu gosto, mas a calabresa é uma das favoritas aqui!"
Tem pizza para crianças?,"Sim, temos pizzas broto que são ótimas para o público infantil."
Vocês fazem pizza sem queijo?,"Sim, podemos preparar pizzas sem queijo, é só avisar no pedido."
Como é a massa da pizza?,"Nossa massa é artesanal, fina e crocante, feita diariamente."
Vocês têm pizza com borda recheada?,"Sim, oferecemos borda recheada com catupiry, cheddar ou requeijão."
A pizza vem acompanhada de algo?,"Não, mas você pode pedir acompanhamentos como refrigerantes e molhos."
Vocês têm estacionamento?,"Sim, temos estacionamento gratuito para clientes que retiram no local."
É possível pedir meia pizza?,"Infelizmente, não trabalhamos com meia pizza."
Posso agendar um pedido para mais tarde?,"Sim, aceitamos pedidos agendados com antecedência."
Tem desconto para pedidos grandes?,"Sim, para pedidos acima de 5 pizzas temos descontos especiais."
Vocês fazem pizza integral?,"Sim, temos opção de massa integral para pizza."
Tem pizza light ou diet?,"Temos opções mais leves, como pizzas com poucos ingredientes gordurosos."
Vocês usam ingredientes frescos?,"Sim, usamos ingredientes frescos e de qualidade em todas as pizzas."
Posso pedir pizza sem cebola?,"Claro, podemos preparar sua pizza sem cebola se preferir."
Tem pizza com borda crocante?,"Sim, nossa massa tem borda crocante e saborosa."
Vocês têm pizza com molho especial?,"Sim, temos molho especial caseiro para nossas pizzas."
Posso escolher os ingredientes da minha pizza?,"Sim, você pode montar sua pizza personalizada."
Vocês têm opção de pizza sem glúten?,"Ainda estamos desenvolvendo essa opção, mas em breve teremos!"
Tem pizza de camarão?,"No momento não temos pizza de camarão, mas temos outras opções deliciosas."
Posso pagar no cartão de débito?,"Sim, aceitamos cartão de débito."
Vocês aceitam pagamento em dinheiro?,"Sim, aceitamos pagamento em dinheiro."
Tem opção de pizza sem lactose?,"Sim, temos pizzas sem lactose, é só informar no pedido."
Vocês fazem delivery à noite?,"Sim, nosso delivery funciona das 18h às 23h."
Quanto tempo demora para preparar a pizza?,O preparo leva em média 20 a 30 minutos.
Vocês têm pizza com ingredientes importados?,"Sim, alguns ingredientes especiais são importados para garantir qualidade."
Posso fazer pedido para festa?,"Sim, fazemos pedidos para eventos e festas com antecedência."
Tem pizza sem glúten?,"Ainda não, mas estamos trabalhando para oferecer essa opção em breve."
Qual o número do telefone para pedidos?,Nosso telefone é (11) 98888-7777.
Vocês aceitam pedidos pelo WhatsApp?,"Sim, você pode fazer seu pedido pelo nosso WhatsApp."
Tem pizza vegana?,"Sim, temos opções veganas preparadas com ingredientes especiais."
Vocês entregam em condomínios?,"Sim, fazemos entrega em condomínios sem problema algum."
Vocês podem adicionar extra de queijo?,"Sim, cobramos um adicional de R$4 por porção extra de queijo."
Como faço para trocar um sabor após pedir?,Basta nos enviar uma mensagem no WhatsApp informando a alteração antes do preparo.
Tem pizza brotinho?,"Sim, temos pizza brotinho ideal para uma pessoa."
Vocês vendem pizza de calabresa com cebola?,"Sim, nossa calabresa tradicional já vem com cebola."
A pizza de quatro queijos leva quais queijos?,"Usamos mussarela, parmesão, provolone e catupiry na pizza quatro queijos."
Posso pedir sem orégano?,"Claro, podemos preparar sua pizza sem orégano sem problemas."
Tem pizza light?,Temos opções com menos queijo e ingredientes mais leves.
Vocês fazem pizza sem glúten?,"Ainda estamos desenvolvendo, mas em breve teremos essa opção."
Qual o sabor da pizza doce?,"Temos chocolate, banana com canela e Romeu e Julieta."
Vocês entregam em shoppings?,"Sim, fazemos entregas em todos os shoppings da região."
É possível adicionar borda doce?,"Sim, oferecemos borda doce de chocolate por R$6 adicionais."
Qual o valor da pizza gigante?,"A pizza gigante custa a partir de R$65,00."
Tem pizza de bacon?,"Sim, nossa pizza de bacon leva bacon crocante e muito queijo."
Posso pedir sem tomate?,"Claro, podemos preparar a pizza sem molho de tomate."
Vocês têm pizza de atum?,"Sim, temos pizza de atum com cebola e azeitonas."
Tem pizza com milho?,"Sim, nossa pizza de milho leva milho verde e ervas finas."
Como faço para acompanhar o pedido?,Você recebe um link de rastreamento no WhatsApp após a confirmação.
Vocês aceitam vale-refeição?,"Sim, aceitamos cartões de vale-refeição das principais bandeiras."
Posso pagar com Apple Pay?,"No momento não aceitamos Apple Pay, mas temos Pix e cartões."
Tem pizza sem lactose?,"Sim, temos queijo sem lactose disponível, basta avisar no pedido."
É possível fazer pizza metade/métade?,Claro! Você pode escolher até dois sabores em uma mesma pizza.
Vocês têm pizza de cogumelos?,"Sim, nossa pizza de cogumelos leva champignon e creme de ricota."
Quanto custa a taxa de entrega para meu bairro?,Informe seu CEP no WhatsApp para consultarmos a taxa exata.
Vocês oferecem desconto para empresas?,"Sim, temos descontos especiais para pedidos corporativos."
Tem pizza de abobrinha?,"Sim, temos pizza de abobrinha com queijo de cabra."
Qual o tamanho broto?,A pizza broto tem aproximadamente 20 cm de diâmetro.
Tem pizza de alho e óleo?,"Sim, nossa pizza de alho e óleo é leve e saborosa."
Vocês têm pizza de chocolate branco?,"Sim, oferecemos pizza de chocolate branco com frutas vermelhas."
Tem pizza de churros?,"Sim, temos pizza de churros com doce de leite e açúcar com canela."
Posso pedir pros meus pais?,"Claro, envie o endereço de entrega e faremos o pedido normalmente."
Vocês conseguem colocar extra de queijo?,"Sim, cobramos R$4 a mais para cada porção extra de queijo."
Como faço para alterar o sabor depois de já ter pedido?,É só mandar uma mensagem pelo WhatsApp avisando a mudança antes do preparo.
Vocês têm pizza brotinho?,"Sim, temos pizza brotinho perfeita para uma pessoa."
Vocês vendem pizza de calabresa com cebola?,"Sim, nossa pizza de calabresa já vem com cebola."
Quais queijos tem na pizza quatro queijos?,"Usamos mussarela, parmesão, provolone e catupiry."
Dá para pedir a pizza sem orégano?,"Claro, podemos preparar sua pizza sem orégano."
"Vocês têm pizza mais leve, tipo light?","Sim, temos opções com menos queijo e ingredientes mais leves."
Vocês fazem pizza sem glúten?,"Ainda estamos desenvolvendo essa opção, em breve teremos disponível."
Quais sabores de pizza doce vocês têm?,"Temos chocolate, banana com canela e Romeu e Julieta."
Vocês entregam pizza em shoppings?,"Sim, entregamos em todos os shoppings da região."
É possível colocar borda doce na pizza?,"Sim, oferecemos borda doce de chocolate por R$6 a mais."
Quanto custa a pizza gigante?,"A pizza gigante custa a partir de R$65,00."
Vocês têm pizza com bacon?,"Sim, nossa pizza de bacon é feita com bacon crocante e bastante queijo."
Posso pedir a pizza sem tomate?,"Sim, podemos preparar sua pizza sem molho de tomate."
Vocês fazem pizza de atum?,"Sim, temos pizza de atum com cebola e azeitonas."
Tem pizza com milho?,"Sim, nossa pizza leva milho verde e ervas finas."
Como posso acompanhar meu pedido?,"Após a confirmação, você recebe um link de rastreamento pelo WhatsApp."
Vocês aceitam vale-refeição?,"Sim, aceitamos os principais cartões de vale-refeição."
Dá para pagar com Apple Pay?,"No momento não, mas aceitamos Pix e cartões de crédito/débito."
Vocês têm pizza sem lactose?,"Sim, basta avisar que usamos queijo sem lactose."
Dá para pedir pizza metade de um sabor e metade de outro?,"Sim, você pode escolher até dois sabores na mesma pizza."
Vocês têm pizza de cogumelos?,"Sim, usamos champignon e creme de ricota na nossa pizza de cogumelos."
Qual é o custo da entrega para meu bairro?,Envie seu CEP pelo WhatsApp para informarmos o valor exato.
Vocês fazem desconto para empresas?,"Sim, oferecemos descontos especiais para pedidos corporativos."
Tem pizza de abobrinha?,"Sim, temos pizza de abobrinha com queijo de cabra."
Qual o tamanho da pizza broto?,A pizza broto tem cerca de 20 centímetros de diâmetro.
Vocês têm pizza de alho e óleo?,"Sim, nossa pizza de alho e óleo é leve e saborosa."
Vocês oferecem pizza de chocolate branco?,"Sim, temos pizza de chocolate branco com frutas vermelhas."
Tem pizza de churros?,"Sim, nossa pizza de churros é com doce de leite e açúcar com canela."
Posso fazer o pedido para os meus pais?,"Claro, basta enviar o endereço de entrega que fazemos o pedido normalmente."
É possível adicionar queijo extra?,"Sim, o extra de queijo custa R$4 por porção."
Posso mudar o sabor do pedido depois de feito?,"Sim, envie uma mensagem no WhatsApp antes do preparo para alterar."
Vocês oferecem pizza tamanho brotinho?,"Sim, temos a pizza brotinho, ideal para uma pessoa."
A pizza de calabresa vem com cebola?,"Sim, nossa calabresa tradicional já inclui cebola."
Quais são os queijos da pizza quatro queijos?,"Utilizamos mussarela, parmesão, provolone e catupiry."
Consigo pedir a pizza sem colocar orégano?,"Claro, podemos preparar sem orégano."
Há opções de pizza mais leves?,"Sim, temos pizzas com menos queijo e ingredientes mais leves."
Vocês têm pizzas sem glúten?,Estamos trabalhando para oferecer pizza sem glúten em breve.
Quais sabores doces vocês têm?,"Chocolate, banana com canela e Romeu e Julieta."
Fazem entrega para shoppings?,"Sim, entregamos em todos os shoppings da área."
Posso colocar borda doce na pizza?,"Sim, borda doce de chocolate custa R$6 adicionais."
Qual o preço da pizza gigante?,"A partir de R$65,00."
Existe pizza de bacon no cardápio?,"Sim, com bacon crocante e muito queijo."
É possível pedir pizza sem molho de tomate?,"Sim, preparamos sem molho de tomate."
Vocês fazem pizza de atum?,"Sim, com atum, cebola e azeitonas."
A pizza com milho tem quais ingredientes?,Milho verde e ervas finas.
Como faço para rastrear meu pedido?,Você recebe um link via WhatsApp após a confirmação.
Vocês aceitam vale-refeição?,"Sim, aceitamos os principais cartões."
Posso pagar com Apple Pay?,"Ainda não, mas aceitamos Pix e cartões."
Tem pizza sem lactose?,"Sim, só avisar que quer com queijo sem lactose."
Posso fazer pizza metade sabor e metade sabor?,"Sim, até dois sabores na mesma pizza."
Vocês têm pizza com cogumelos?,"Sim, com champignon e creme de ricota."
Qual a taxa de entrega para minha região?,Informe seu CEP pelo WhatsApp para consultarmos.
Oferecem desconto para empresas?,"Sim, temos condições especiais para pedidos corporativos."
Vocês fazem pizza de abobrinha?,"Sim, com queijo de cabra."
Qual o tamanho da pizza brotinho?,Tem cerca de 20 cm de diâmetro.
Tem pizza de alho e óleo?,"Sim, nossa pizza de alho e óleo é leve."
Fazem pizza de chocolate branco?,"Sim, com frutas vermelhas."
Vocês têm pizza de churros?,"Sim, com doce de leite e canela."
Posso pedir para entregar na casa dos meus pais?,"Claro, envie o endereço que realizamos o pedido."
Posso incluir queijo extra na pizza?,"Sim, o adicional de queijo custa R$4 por porção."
Como faço para trocar o sabor do pedido após efetuá-lo?,Basta enviar uma mensagem pelo WhatsApp antes de iniciarmos o preparo.
Existe pizza no tamanho brotinho?,"Sim, temos o tamanho brotinho, ideal para uma pessoa."
A pizza de calabresa tem cebola?,"Sim, nossa calabresa já vem com cebola."
Que queijos compõem a pizza quatro queijos?,"Mussarela, parmesão, provolone e catupiry."
Posso pedir a pizza sem colocar orégano?,"Sim, podemos preparar sua pizza sem orégano."
Vocês oferecem pizzas com menos gordura ou queijo?,"Sim, temos opções mais leves com menos queijo."
Tem pizza sem glúten no cardápio?,"Ainda não, mas estamos preparando essa opção."
Quais são os sabores das pizzas doces?,"Chocolate, banana com canela e Romeu e Julieta."
Vocês fazem entrega em shoppings?,"Sim, entregamos em todos os shoppings da região."
É possível adicionar borda doce na pizza?,"Sim, borda doce de chocolate custa R$6 a mais."
Quanto custa a pizza gigante?,A pizza gigante custa a partir de R$65.
Vocês têm pizza de bacon?,"Sim, com bacon crocante e muito queijo."
Posso pedir a pizza sem molho de tomate?,"Claro, fazemos sem molho de tomate."
Vocês têm pizza de atum?,"Sim, com atum, cebola e azeitonas."
A pizza com milho leva o que?,Milho verde e ervas finas.
Como acompanhar o pedido?,"Após confirmar, enviamos link de rastreamento pelo WhatsApp."
Vocês aceitam vale-refeição?,"Sim, aceitamos os principais cartões."
Posso pagar usando Apple Pay?,"Não aceitamos Apple Pay no momento, mas temos Pix e cartões."
Tem pizza com queijo sem lactose?,"Sim, avise que deseja sem lactose."
Dá para fazer pizza metade e metade?,"Sim, você pode escolher dois sabores."
Vocês têm pizza de cogumelos?,"Sim, usamos champignon e creme de ricota."
Qual o valor da entrega para meu bairro?,Mande seu CEP no WhatsApp que consultamos.
Vocês dão desconto para empresas?,"Sim, temos descontos para pedidos corporativos."
Vocês têm pizza de abobrinha?,"Sim, com queijo de cabra."
Qual o tamanho da pizza brotinho?,Cerca de 20 cm de diâmetro.
Tem pizza de alho e óleo?,"Sim, uma opção leve e saborosa."
Vocês vendem pizza de chocolate branco?,"Sim, com frutas vermelhas."
Tem pizza de churros?,"Sim, feita com doce de leite e canela."
Posso fazer pedido para entregar na casa dos meus pais?,"Claro, basta enviar o endereço."
É possível pedir queijo extra na pizza?,"Sim, o adicional de queijo custa R$4 por porção."
Como faço para modificar o sabor do pedido depois de feito?,É só enviar uma mensagem pelo WhatsApp antes do preparo.
Vocês oferecem pizza no tamanho brotinho?,"Sim, temos pizza brotinho, ideal para uma pessoa."
A pizza de calabresa vem com cebola?,"Sim, a nossa calabresa já acompanha cebola."
Quais queijos são usados na pizza quatro queijos?,"Utilizamos mussarela, parmesão, provolone e catupiry."
Posso pedir a pizza sem orégano?,"Sim, podemos preparar sem orégano para você."
Vocês têm opções de pizza light?,"Sim, temos pizzas com menos queijo e ingredientes mais leves."
Tem pizza sem glúten?,Estamos preparando essa opção e em breve teremos disponível.
Quais sabores doces vocês oferecem?,"Chocolate, banana com canela e Romeu e Julieta."
Vocês fazem entregas em shoppings?,"Sim, entregamos em todos os shoppings da região."
Posso pedir borda doce?,"Sim, a borda doce de chocolate custa R$6 adicionais."
Qual o preço da pizza gigante?,"A partir de R$65,00."
Tem pizza de bacon?,"Sim, com bacon crocante e muito queijo."
É possível pedir pizza sem tomate?,"Sim, fazemos sem molho de tomate."
Vocês vendem pizza de atum?,"Sim, com atum, cebola e azeitonas."
A pizza de milho leva quais ingredientes?,Milho verde e ervas finas.
Como faço para rastrear meu pedido?,Você recebe um link no WhatsApp após confirmação.
Vocês aceitam vale-refeição?,"Sim, aceitamos os principais cartões."
Posso pagar com Apple Pay?,"Ainda não aceitamos, mas temos Pix e cartões."
Tem pizza sem lactose?,"Sim, avise que deseja queijo sem lactose."
Posso pedir pizza metade de um sabor e metade de outro?,"Sim, pode escolher até dois sabores."
Vocês têm pizza com cogumelos?,"Sim, com champignon e creme de ricota."
Qual a taxa de entrega para meu bairro?,Mande seu CEP no WhatsApp para consultar.
Vocês oferecem desconto para empresas?,"Sim, temos descontos especiais para pedidos corporativos."
Tem pizza de abobrinha?,"Sim, com queijo de cabra."
Qual o tamanho da pizza brotinho?,Cerca de 20 cm de diâmetro.
Vocês têm pizza de alho e óleo?,"Sim, é uma pizza leve e saborosa."
Tem pizza de chocolate branco?,"Sim, com frutas vermelhas."
Vocês oferecem pizza de churros?,"Sim, com doce de leite e canela."
Posso fazer pedido para entregar para meus pais?,"Claro, envie o endereço e fazemos o pedido."
Vocês fazem pizza com extra de queijo?,"Sim, o adicional de queijo custa R$4 por porção."
Posso trocar o sabor do pedido depois de feito?,Envie uma mensagem pelo WhatsApp antes do preparo para alterar.
Existe pizza no tamanho brotinho?,"Sim, temos pizza brotinho, ideal para uma pessoa."
A pizza calabresa vem com cebola?,"Sim, nossa pizza de calabresa já inclui cebola."
Quais queijos são usados na pizza quatro queijos?,"Usamos mussarela, parmesão, provolone e catupiry."
Dá para pedir pizza sem orégano?,"Sim, podemos preparar sem orégano."
Vocês têm pizza light?,"Sim, temos opções com menos queijo e ingredientes mais leves."
Vocês oferecem pizza sem glúten?,Estamos desenvolvendo essa opção e em breve teremos disponível.
Quais são os sabores de pizza doce?,"Chocolate, banana com canela e Romeu e Julieta."
Vocês fazem entrega para shoppings?,"Sim, entregamos em todos os shoppings da região."
Posso adicionar borda doce?,"Sim, borda doce de chocolate custa R$6 a mais."
Qual o valor da pizza gigante?,A pizza gigante custa a partir de R$65.
Vocês têm pizza com bacon?,"Sim, feita com bacon crocante e bastante queijo."
Posso pedir pizza sem molho de tomate?,"Sim, fazemos pizza sem molho de tomate."
Tem pizza de atum?,"Sim, com atum, cebola e azeitonas."
A pizza com milho leva quais ingredientes?,Milho verde e ervas finas.
Como faço para acompanhar o pedido?,"Após a confirmação, enviamos um link pelo WhatsApp."
Vocês aceitam vale-refeição?,"Sim, aceitamos os principais cartões."
Posso pagar com Apple Pay?,"Ainda não, mas aceitamos Pix e cartões."
Tem pizza sem lactose?,"Sim, é só avisar que quer queijo sem lactose."
Posso pedir pizza metade de um sabor e metade de outro?,"Sim, até dois sabores por pizza."
Vocês oferecem pizza de cogumelos?,"Sim, com champignon e creme de ricota."
Qual o custo da entrega para meu bairro?,Mande seu CEP pelo WhatsApp para consulta.
Tem desconto para empresas?,"Sim, temos descontos para pedidos corporativos."
Vocês têm pizza de abobrinha?,"Sim, com queijo de cabra."
Qual o tamanho da pizza brotinho?,A pizza brotinho tem cerca de 20 cm.
Tem pizza de alho e óleo?,"Sim, leve e saborosa."
Vocês vendem pizza de chocolate branco?,"Sim, com frutas vermelhas."
Tem pizza de churros?,"Sim, com doce de leite e canela."
Posso fazer pedido para meus pais?,"Claro, envie o endereço e faremos o pedido."
Quais sabores de pizza vocês têm?,"Temos calabresa, portuguesa, frango com catupiry, marguerita, quatro queijos, entre outras opções deliciosas."
Vocês têm pizza de calabresa no cardápio?,"Sim, claro! Nossa pizza de calabresa é uma das mais tradicionais e muito saborosa. Vem com bastante calabresa e bastante queijo!"
Que pizzas vegetarianas vocês oferecem?,"Temos sim! A gente oferece marguerita com manjericão, vegetariana com legumes frescos, e até uma opção de brócolis com queijo. Todas sem carne, ó!"
Vocês têm pizza doce?,"Sim, temos sim. Você encontra pizza de chocolate, banana com canela e até uma de Nutella para adoçar o paladar."
Quais são os sabores clássicos da casa?,"Os clássicos aqui incluem calabresa, portuguesa, quatro queijos e frango com catupiry. Todos muito caprichados!"
Tem pizza sem lactose?,"Tem sim! Utilizamos ingredientes sem lactose nas pizzas marguerita e quatro queijos (com requeijão ou creme vegetal), para quem tem restrição alimentar."
Qual é a pizza mais pedida por vocês?,Nossa campeã de vendas é a de frango com catupiry. Depois dela vem a calabresa e a quatro queijos. Os clientes amam!
Tem pizza de bacon ou pepperoni no cardápio?,"Temos sim, temos pizza de bacon com bastante queijo e a tradicional pepperoni bem apimentada. Ambas deliciosas!"
Vocês fazem entrega de pizzas?,"Sim, fazemos entregas na região. É só pedir pelo telefone ou pelo nosso aplicativo, e a pizza chega rapidinho aí!"
Qual é o tempo médio de entrega?,"Em média leva de 30 a 50 minutos para entregar, dependendo de onde você estiver. A gente sempre tenta ser rápido para você receber bem quentinha."
Qual o valor da taxa de entrega?,"O valor da taxa varia de acordo com o bairro, geralmente entre R$5 e R$10. Se estiver em uma área próxima, às vezes até sai de graça!"
Vocês entregam no meu bairro?,"A gente atende vários bairros sim. Qual é o seu endereço? Se for dentro da nossa área de cobertura, sem problema algum!"
Até que horas vocês fazem entrega?,"Fazemos entregas até as 23h todos os dias. Na sexta e sábado podemos esticar até meia-noite, dependendo do movimento."
Como posso pedir pizza para entrega?,"Basta ligar para a pizzaria, pedir pelo nosso site ou aplicativo. Anotamos o seu pedido e informamos o tempo de entrega na hora."
A taxa de entrega é gratuita?,"Normalmente tem uma pequena taxa, mas às vezes temos promoções com entrega grátis para pedidos acima de determinado valor. Vale conferir!"
Qual é a área de entrega de vocês?,"Entregamos na maioria da cidade e bairros vizinhos. Se você estiver na região urbana principal, provavelmente chegamos aí sem problema!"
Quais são os horários de funcionamento?,"Funcionamos todos os dias da semana. De segunda a sábado abrimos das 11h às 23h e, aos domingos, das 17h às 23h."
Até que horas vocês ficam abertos?,"Ficamos abertos até as 23h em dias normais. Na sexta e sábado, às vezes estendemos até meia-noite."
Vocês trabalham no domingo?,"Sim, trabalhamos. Aos domingos abrimos das 17h às 23h para atender quem quer uma pizza no fim de semana."
Funcionam em feriados?,"Geralmente abrimos em feriados das 17h às 23h, mas é sempre bom ligar antes para confirmar, alguns feriados podem ter horário especial."
Que horas abrem hoje?,Hoje abrimos às 11h e ficaremos até às 23h. Sempre preparamos tudo fresquinho desde o almoço até o jantar!
